MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn|time|tre200s0|sre000z0|rre150z0|dkl010z0|fu3010z0|pp0qnhs0|fu3010z1|ure200s0|prestas0|pp0qffs0
TAE|201805090850|18.3|10|0.0|356|5.8|1008.5|10.1|51|945.6|1006.6
COM|201805090850|17.3|10|0.0|159|6.5|1008.0|12.6|74|940.9|1006.1
ABO|201805090850|14.3|9|0.0|87|11.2|1010.3|18.4|67|861.1|-
AIG|201805090850|17.0|10|0.0|352|9.4|1008.3|13.7|78|963.4|1007.4
ALT|201805090850|17.8|10|0.0|6|4.0|1008.0|6.5|61|956.5|1006.7
AND|201805090850|15.9|10|0.0|154|2.9|1008.5|6.5|57|895.7|-
BAS|201805090850|20.3|10|0.0|186|4.0|1008.1|9.0|62|970.7|1006.9
BER|201805090850|18.2|10|0.0|90|4.0|1008.8|12.6|64|944.2|1006.9
BEZ|201805090850|19.6|10|0.0|303|1.4|1008.1|3.6|50|969.6|1007.0
BIE|201805090850|16.0|8|0.0|135|7.9|1009.0|13.0|87|929.7|-
BUS|201805090850|19.4|10|0.0|36|4.7|1008.4|9.0|48|962.8|1007.0
FRE|201805090850|11.6|0|0.0|181|2.9|1010.4|5.8|97|873.9|-
CHA|201805090850|-|0|0.0|326|5.4|1011.3|8.6|-|834.0|-
CHU|201805090850|17.0|0|0.0|15|9.7|1008.0|18.4|57|943.1|1006.3
CIM|201805090850|7.8|2|0.0|213|6.5|1010.6|13.7|95|826.6|-
GSB|201805090850|3.9|10|0.0|108|28.1|1012.4|35.6|85|747.3|-
DAV|201805090850|10.5|0|0.0|78|5.8|1010.1|10.8|54|833.0|-
DIS|201805090850|16.4|10|0.0|112|4.3|1009.3|9.0|54|873.8|-
ENG|201805090850|16.3|10|0.0|234|11.2|1009.5|20.9|58|891.3|-
EVO|201805090850|8.8|0|0.0|294|5.8|1011.2|8.6|77|810.3|-
FAH|201805090850|17.9|10|0.0|202|6.8|1009.2|12.6|66|939.6|1007.1
GVE|201805090850|17.6|8|0.0|97|3.6|1008.5|9.0|76|960.1|1007.3
GLA|201805090850|18.1|7|0.0|326|19.1|1008.3|29.5|52|947.8|1006.5
GRH|201805090850|5.9|0|0.0|347|4.0|1012.1|11.2|91|797.8|-
GOE|201805090850|19.9|10|0.0|96|8.6|1008.4|15.5|48|963.5|1006.9
GUE|201805090850|4.7|10|0.0|324|11.2|1011.9|21.6|70|766.2|-
GUT|201805090850|17.7|10|0.0|13|7.2|1008.6|11.5|57|956.9|1007.3
HOE|201805090850|14.3|10|0.0|276|4.0|1010.0|8.6|63|881.3|-
INT|201805090850|17.9|10|0.0|59|5.8|1008.3|13.7|65|941.0|1006.3
JUN|201805090850|-|-|-|-|-|-|-|-|-|-
CDF|201805090850|14.9|0|0.0|267|4.0|1009.9|10.1|76|893.7|-
